,0
1546,1
1547,1
1548,1
1549,1
1550,1
1551,8
1552,1
1553,1
1554,8
1555,1
1556,1
1557,1
1558,1
1559,1
1560,1
1561,1
1562,1
1563,1
1564,1
1565,1
1566,1
1567,1
1568,1
1569,1
1570,1
1571,1
1572,1
1573,1
1574,1
1575,3
1576,1
1577,1
1578,1
1579,1
1580,1
1581,1
1582,1
1583,13
1584,1
1585,1
1586,1
1587,1
1588,1
1589,2
1590,1
1591,1
1592,1
1593,1
1594,1
1595,1
1596,1
1597,1
1598,1
1599,1
1600,1
1601,1
1602,1
1603,1
1604,1
1605,1
1606,1
1607,1
1608,1
1609,1
1610,1
1611,1
1612,1
1613,1
1614,1
1615,1
1616,1
1617,1
1618,1
1619,1
1620,1
1621,1
1622,1
1623,1
1624,1
1625,1
1626,1
1627,3
1628,2
1629,1
1630,3
1631,3
1632,4
1633,4
1634,4
1635,2
1636,1
1637,2
1638,1
1639,1
1640,1
1641,1
1642,2
1643,1
1644,3
1645,1
1646,3
1647,4
1648,2
1649,1
1650,2
1651,1
1652,1
1653,1
1654,1
1655,1
1656,1
1657,1
1658,1
1659,1
1660,1
1661,1
1662,1
1663,1
1664,1
1665,1
1666,1
1667,5
1668,1
1669,1
1670,1
1671,1
1672,1
1673,1
1674,1
1675,1
1676,1
1677,1
1678,1
1679,1
1680,1
1681,1
1682,1
1683,2
1684,2
1685,1
1686,1
1687,1
1688,3
1689,1
1690,1
1691,1
1692,1
1693,1
1694,1
1695,1
1696,1
1697,1
1698,1
1699,1
1700,1
1701,1
1702,1
1703,1
1704,3
1705,1
1706,2
1707,1
1708,1
1709,1
1710,1
1711,1
1712,1
1713,1
1714,1
1715,1
1716,1
1717,1
1718,1
1719,1
1720,1
1721,1
1722,1
1723,1
1724,1
1725,2
1726,5
1727,1
1728,1
1729,1
1730,1
1731,9
1732,2
1733,1
1734,1
1735,1
1736,1
1737,1
1738,1
1739,1
1740,1
1741,1
1742,1
1743,1
1744,1
1745,1
1746,1
1747,1
1748,1
1749,1
1750,1
1751,1
1752,1
1753,1
1754,1
1755,1
1756,1
1757,1
1758,1
1759,1
1760,1
1761,1
1762,1
1763,1
1764,1
1765,1
1766,1
1767,1
1768,1
1769,1
1770,1
1771,2
1772,2
1773,2
1774,2
1775,2
1776,2
1777,2
1778,4
1779,2
1780,2
1781,4
1782,4
1783,4
1784,2
1785,2
1786,2
1787,2
1788,2
1789,2
1790,2
1791,2
1792,2
1793,2
1794,2
1795,2
1796,2
1797,2
1798,2
1799,2
1800,2
1801,2
1802,2
1803,2
1804,2
1805,4
1806,2
1807,2
1808,2
1809,2
1810,2
1811,2
1812,2
1813,2
1814,2
1815,2
1816,2
1817,2
1818,2
1819,2
1820,2
1821,2
1822,2
1823,2
1824,2
1825,4
1826,2
1827,2
1828,4
1829,1
1830,1
1831,1
1832,1
1833,1
1834,1
1835,1
1836,3
1837,1
1838,1
1839,1
1840,1
1841,1
1842,1
1843,1
1844,1
1845,1
1846,1
1847,1
1848,1
1849,1
1850,1
1851,1
1852,1
1853,1
1854,1
1855,1
1856,1
1857,1
1858,1
1859,1
1860,1
1861,1
1862,2
1863,1
1864,6
1865,4
1866,2
1867,2
1868,4
1869,1
1870,1
1871,1
1872,1
1873,1
1874,1
1875,1
1876,1
1877,1
1878,2
1879,1
1880,1
1881,1
1882,1
1883,1
1884,2
1885,1
1886,1
1887,1
1888,1
1889,1
1890,1
1891,1
1892,3
1893,3
1894,3
1895,5
1896,3
1897,10
1898,3
1899,3
1900,3
1901,3
1902,1
1903,7
1904,5
1905,4
1906,2
1907,1
1908,1
1909,2
1910,1
1911,5
1912,1
1913,2
1914,1
1915,1
1916,1
1917,2
1918,3
1919,5
1920,12
1921,1
1922,10
1923,2
1924,1
1925,2
1926,1
1927,2
1928,1
1929,2
1930,2
1931,1
1932,2
1933,1
1934,1
1935,2
1936,3
1937,2
1938,1
1939,1
1940,2
1941,1
1942,1
1943,3
1944,2
1945,1
1946,1
1947,1
1948,1
1949,2
1950,2
1951,1
1952,1
1953,1
1954,1
1955,1
1956,1
1957,1
1958,1
1959,1
1960,2
1961,1
1962,1
1963,1
1964,1
1965,1
1966,1
1967,1
1968,1
1969,1
1970,1
1971,1
1972,1
1973,4
1974,1
1975,1
1976,1
1977,1
1978,1
1979,1
1980,1
1981,1
1982,1
1983,1
1984,1
1985,1
1986,1
1987,1
1988,1
1989,2
1990,2
1991,2
1992,2
1993,2
1994,1
1995,2
